zone_name,avg_payed_in,avg_dist_in,rides_number_in,price_for_dist_in
Newark Airport,100.86253124183098,17.879238431372546,38250,5.64132144828095
Penn Station/Madison Sq West,35.18621145924357,6.57785752923064,24033,5.349190264897548
West Chelsea/Hudson Yards,34.25539995970209,6.455762643562366,14889,5.30617401088333
Midtown North,43.40605832032716,8.323905843592845,34602,5.214626298751094
Garment District,40.19894679150487,7.8151436401004695,21895,5.14372462525693
Union Sq,35.23977122336986,6.892483860555191,24784,5.112782552171444
Upper East Side South,31.350810538626227,6.173030992138255,30782,5.078673763108182
Central Park,33.70099718797357,6.7086127334342835,13869,5.023541904575151
Randalls Island,40.546905370844016,8.094347826086954,782,5.009286262713717
Upper East Side North,29.480391090074416,5.891039816531658,40988,5.00427632611571
East Chelsea,37.55946915167089,7.511985861182518,23340,4.999938743995235
Clinton West,36.95673458725203,7.431920933472661,11484,4.972702874273383
Midtown Center,39.86951016942751,8.037738732420367,54182,4.960289391917295
Murray Hill,37.208825920872535,7.554326057298775,36650,4.925499063536241
Greenwich Village North,35.43655974965804,7.196225308038335,15339,4.924326050502429
Flatiron,36.325766732754744,7.409059957612637,14627,4.90288470340031
Midtown South,40.59731032772081,8.302398846618914,32253,4.889828961210861
Greenwich Village South,32.58056009712696,6.684515580736548,12355,4.874034580907806
Clinton East,39.56052490487616,8.123395307275452,34692,4.869949498757629
Little Italy/NoLiTa,33.554774815582284,6.900033001164751,15454,4.862987584250411
SoHo,34.31384727217116,7.070944219144537,13069,4.852795639267898
Times Sq/Theatre District,43.83162667487385,9.058691369226032,61721,4.838626782647392
West Village,33.93465560521686,7.018840384497634,16333,4.834795172172262
Great Kills Park,91.58,19.0,1,4.82
Lenox Hill East,32.04689248636332,6.65881444659511,22732,4.812702432750629
Lincoln Square East,35.83064235624112,7.450174313764778,24955,4.8093696666991015
Upper West Side South,34.75733741093758,7.230135016429713,30737,4.807287461707869
Gramercy,36.084772804422954,7.512058581058141,20621,4.80357979308251
Meatpacking/West Village West,35.24885099949631,7.357854863094237,11906,4.790642334669935
Lincoln Square West,35.83241428122076,7.494186851211079,12716,4.781361206043341
Upper West Side North,32.982678104196026,6.9072288278740155,30193,4.775095617376238
Lenox Hill West,32.04095571551532,6.712907440732327,25562,4.773037018371267
Kips Bay,33.63513126279265,7.049535463201921,11237,4.7712549909658115
Midtown East,39.21200146438852,8.271882927987638,50533,4.740396087052445
