zone_name,avg_payed_out,avg_dist_out,rides_number_out,price_for_dist_out
Newark Airport,106.7413868613139,6.147445255474453,411,17.363535977202567
Astoria Park,51.0533962264151,7.217169811320755,53,7.0738804214268916
Randalls Island,49.696143617021264,7.873909574468084,376,6.311495343833492
Maspeth,53.756488888888875,8.6996,225,6.179190869567437
South Beach/Dongan Hills,87.13076923076922,14.165384615384616,13,6.1509638881346715
Kew Gardens,49.46208609271523,8.688476821192053,302,5.692837434068112
South Ozone Park,54.76121147715202,9.903676939426141,941,5.529381845963677
Long Island City/Hunters Point,37.83740377886622,6.9141217634709555,2858,5.472481549105881
Saint Michaels Cemetery/Woodside,45.253311688311676,8.361883116883119,154,5.411856522718269
Corona,47.04913242009131,8.807990867579909,219,5.34164182586381
Flushing Meadows-Corona Park,55.78157838983055,10.508124999999998,944,5.308423566509778
Richmond Hill,50.747485875706225,9.572316384180791,354,5.301484388833147
Green-Wood Cemetery,33.39,6.505714285714285,7,5.132411067193677
Penn Station/Madison Sq West,35.41722555676783,7.013427158547277,55813,5.049917074223091
Union Sq,35.086690587137696,7.010072227399809,42920,5.005182464454025
Sunnyside,35.905096296296115,7.178207407407408,4050,5.001958603097003
Steinway,41.57285317018904,8.357358175750834,1798,4.97440127561053
Charleston/Tottenville,89.76,18.049999999999997,5,4.972853185595569
Central Park,34.33148184884012,6.92157954770879,20164,4.960064622851105
SoHo,33.066291292406376,6.68237547323882,13471,4.948283948549179
West Chelsea/Hudson Yards,35.19342264059917,7.140118271783731,20715,4.92896914322502
Greenwich Village North,33.370327521737764,6.776484209577875,22197,4.924430794743413
Woodside,35.48037422037425,7.300540540540538,1443,4.859965371515799
Gramercy,34.5097574990256,7.121296260225938,30804,4.845993796350036
Flatiron,34.41195958885374,7.111762223003864,25587,4.838738769632097
Upper East Side North,30.51952843155797,6.313561716255356,47289,4.833963743948233
East Chelsea,35.67283156779551,7.3854401483050856,37760,4.830156476995107
Rego Park,41.43103746397694,8.610662824207495,347,4.8115967736537355
Meatpacking/West Village West,35.33927978817353,7.350606060606057,16995,4.807668850268899
Murray Hill,37.5312088711128,7.81178432204245,49509,4.804434854302274
Lincoln Square East,35.475886940096096,7.385608202914181,37060,4.803380570079276
Lincoln Square West,34.27969936463698,7.138635518363555,12906,4.801996022412864
Hudson Sq,36.17396248325181,7.536803037070121,11195,4.79964280681457
Upper West Side South,33.59408276463755,7.002091552148573,32091,4.797721154378408
Upper East Side South,32.05022623384341,6.685187368030251,43097,4.794215101152328
Little Italy/NoLiTa,32.251460390485434,6.729213981149019,17824,4.792752984350554
Clinton East,38.321509165462764,7.99891362555471,53407,4.79083922634622
Morningside Heights,34.33246046636317,7.170193871169482,11193,4.788219270389607
Upper West Side North,32.714537203005285,6.833285153121538,26221,4.787527004937126
Midtown North,40.10073975062561,8.383313674672978,49003,4.783399656364389
Midtown Center,39.605001508856965,8.315203264883806,69589,4.7629625214472
Midtown South,38.99594070148748,8.223978046934139,39630,4.741736964634163
Elmhurst,37.83452211126965,8.013309557774608,701,4.721460195502138
Bloomingdale,32.78923122765181,6.945806515693286,5034,4.7207233823125
West Village,32.75277935426863,6.949150901753055,31716,4.713205946643945
Manhattan Valley,32.967085635359474,7.023250460405151,13032,4.693992592349853
Midtown East,38.21706108944246,8.156327760373376,62564,4.685572013806981
Marine Park/Floyd Bennett Field,50.75631578947368,10.841052631578947,19,4.68186231672978
Garment District,38.25156358661456,8.209811035740742,35086,4.659250184942077
Times Sq/Theatre District,42.03752116189888,9.03716118684844,78561,4.651629011893144
Chinatown,33.916734258271056,7.2925003811556675,6559,4.650906065896723
Brooklyn Navy Yard,35.63583333333334,7.666,60,4.648556396208367
Battery Park,32.25091331923882,6.940676532769556,2365,4.646652695449799
Greenwich Village South,32.419338177805095,6.977958423400635,21743,4.64596321885304
Bronx Park,54.035714285714285,11.648285714285715,35,4.638941352498222
UN/Turtle Bay South,39.140442687746976,8.439813350900305,22770,4.637595769054742
Highbridge Park,36.13944444444444,7.8005555555555555,18,4.632932127341357
Roosevelt Island,39.77777777777778,8.599814814814813,162,4.6254225973858185
Clinton West,36.28480938004683,7.880908516464225,14243,4.604140411507535
Elmhurst/Maspeth,36.43978181818181,7.926072727272728,275,4.597457413278155
Arrochar/Fort Wadsworth,50.172777777777775,10.939444444444446,18,4.586410035041388
TriBeCa/Civic Center,34.5699526200241,7.553394623024911,46011,4.576743880777125
Lenox Hill West,30.878132262601056,6.752336614610308,27022,4.572955115387579
Stuy Town/Peter Cooper Village,34.906013833272574,7.6446778303603935,2747,4.566054267799928
East Village,32.15201260358147,7.061901205775819,40306,4.552883376120419
World Trade Center,36.78772860763555,8.112424669107284,24857,4.534739009377302
Middle Village,42.963837209302326,9.503139534883722,86,4.5210150868134145
Kips Bay,33.61113575432658,7.436997928345109,16412,4.5194493904889095
East Harlem South,31.93642147676189,7.067302286356827,10672,4.518898468290228
