month,hour,count,min_fare,avg_fare,max_fare
1,0,5746,0.01,29.218741733379744,98.5
1,1,3607,0.01,28.11651788189631,93.0
1,2,2677,11.5,27.08750840493089,9.0
1,3,2150,0.01,28.354293023255817,99.0
1,4,2249,0.01,30.007607825700312,90.0
1,5,2387,0.01,33.5717762882279,96.0
1,6,3364,0.01,34.012904280618315,9.0
1,7,5431,0.01,31.508158718468053,96.0
1,8,6795,0.01,30.007944076526858,97.5
1,9,7316,0.01,30.084025423728814,97.5
1,10,7214,0.01,30.34841280842806,97.0
1,11,7213,0.01,29.95950644669347,9.0
1,12,7871,101.5,30.772880193113963,96.0
1,13,8189,0.01,31.633728171937964,99.99
1,14,8848,0.01,32.27943377034359,98.5
1,15,9145,0.01,32.70868234007655,99.5
1,16,8909,0.01,32.828474576271184,99.5
1,17,9041,100.5,31.387014710762084,99.0
1,18,9023,1.0,29.87039787210462,97.5
1,19,8840,0.01,29.377915158371042,98.0
1,20,8940,0.01,29.514998881431765,97.0
1,21,10051,0.01,29.52468311610785,91.5
1,22,9680,0.01,29.48026756198347,98.5
1,23,8033,0.01,29.084390638615712,9.0
2,0,5535,0.01,28.78755736224029,9.0
2,1,3419,0.01,27.13448669201521,9.0
2,2,2346,0.01,26.027753623188406,97.0
2,3,1935,0.01,27.089860465116278,99.5
2,4,2111,0.01,29.750980577925155,90.0
2,5,2412,100.0,33.66397180762852,96.0
2,6,3503,0.01,33.80151869825863,93.0
2,7,5141,0.01,31.134411593075278,99.5
2,8,6774,0.01,29.801501328609387,96.5
2,9,7229,0.5,30.01638677548762,98.5
2,10,7382,0.01,30.04996071525332,93.5
2,11,7132,104.0,29.74223079080202,98.5
2,12,8054,0.01,30.318737273404523,99.5
2,13,8171,0.01,31.383583404724025,99.0
2,14,8922,0.01,32.170221923335575,96.0
2,15,9153,0.01,32.44052660329947,99.0
2,16,8642,0.01,32.463557046979865,98.0
2,17,8765,1.0,31.126076440387905,97.5
2,18,8937,100.0,29.57277050464362,94.5
2,19,8850,0.01,29.085256497175145,95.5
2,20,8998,0.01,29.15042787286064,92.5
2,21,10306,11.5,29.240370657869203,91.0
2,22,9840,0.01,29.04991056910569,95.5
2,23,8496,11.5,29.00436911487759,99.32
3,0,13562,0.01,29.006224008258368,9.0
3,1,7591,100.0,27.89646950335924,98.0
3,2,4766,0.01,26.745658833403272,9.8
3,3,4747,0.01,28.168786602064458,90.0
3,4,5242,0.01,30.92139450591377,93.5
3,5,5690,0.01,34.43705975395431,98.0
3,6,8371,0.01,34.48121610321348,99.0
3,7,11908,0.01,32.67400571044676,99.7
3,8,15487,0.01,30.63013043197521,98.5
3,9,16349,102.5,30.73559300263013,99.0
3,10,17102,100.0,31.008621213893107,98.5
3,11,17056,0.29,30.579537406191367,98.5
3,12,18014,0.01,30.975867103364052,98.0
3,13,18235,0.01,31.93393474088292,98.5
3,14,19515,0.01,32.71647963105303,99.5
3,15,20459,0.01,33.49323231829512,97.0
3,16,19572,1.0,33.74988606172082,98.5
3,17,19977,0.01,32.318443710266806,99.5
3,18,20618,0.01,30.52383354350567,99.5
3,19,19435,0.01,29.89476099819913,99.5
3,20,19271,0.01,29.546833584141975,98.5
3,21,22302,0.01,29.994394224733206,98.5
3,22,21993,0.01,29.50108170781612,91.0
3,23,19380,0.01,29.304311145510837,97.5
